symbol,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD,BTC-USD,AVAX-USD,ETH-USD,DOT-USD,MATIC-USD,AAVE-USD,CRV-USD,XRP-USD,MKR-USD,DOGE-USD,BNB-USD,ATOM-USD,SHIB-USD
sctr_col,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,sctr,close,close,close,close,close,close,close,close,close,close,close,close,close,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank,rank
2022-12-23 00:00:00+00:00,36.75487504232037,25.723506803588204,39.7813309535209,27.19700032243086,39.44049672138898,31.51718951801153,23.86119114354216,38.002158013584626,28.5319029715739,39.37386474312071,35.99934948172046,34.747633960407406,32.79534899735385,16796.953125,11.7817268372,1220.1594238281,4.4720830917,0.7987340093,54.5344314575,0.5270169973000001,0.3542729914,553.7487182617,0.07712899890000001,246.1481781006,8.9110803604,8e-06,5.0,12.0,1.0,11.0,2.0,9.0,13.0,4.0,10.0,3.0,6.0,7.0,8.0
2022-12-24 00:00:00+00:00,37.032161082604034,25.429374057385637,41.957596428930884,27.526438794141935,39.999242942610394,29.460886952437267,23.89146706429289,38.37332471039018,33.13668035036454,40.75445527924377,39.29756203642297,35.907936642875114,32.8991094865858,16847.755859375,11.6804294586,1221.1485595703,4.4537649155,0.7959939837000001,54.4707984924,0.5239130259,0.35217899080000004,551.2184448242,0.0776479989,244.6355285645,8.9712114334,8e-06,6.0,12.0,1.0,11.0,3.0,10.0,13.0,5.0,8.0,2.0,4.0,7.0,9.0
2022-12-25 00:00:00+00:00,43.17806948082697,26.83281469467795,43.29472848805794,28.123294106134086,41.00488908716794,31.042423994526565,25.32010111411288,37.80627643142988,29.960432251991445,40.44134477659248,38.6421112384815,37.10857908795979,32.97172293557121,16841.986328125,11.6845932007,1218.9620361328,4.4930438995,0.7951329947,54.4523239136,0.5216720104,0.3463920057,540.2932739258,0.0759520009,243.141494751,9.0204153061,8e-06,2.0,12.0,1.0,11.0,3.0,9.0,13.0,6.0,10.0,4.0,5.0,7.0,8.0
2022-12-26 00:00:00+00:00,45.58665115384804,31.7171300927994,43.652458897442585,34.48169869211808,47.3133653933792,39.21487092926311,32.54520764553763,45.90346645734281,33.18296123396451,44.76581687689988,42.76835050505471,43.078932263627635,38.02567165192617,16919.8046875,11.7238559723,1226.9743652344,4.5720481873,0.8135169744,55.9375686646,0.5362949967,0.3657230139,548.9324951172,0.07578299940000001,244.1982879639,9.1810970306,8e-06,3.0,13.0,5.0,10.0,1.0,8.0,12.0,2.0,11.0,4.0,7.0,6.0,9.0
2022-12-27 00:00:00+00:00,44.09005006045566,30.999593424872955,45.81900342187857,32.46871043201474,45.25758451980812,42.752260315441625,30.234337085337817,46.08981689403421,31.173969757459354,40.473913682977745,43.73431622402997,42.36403470000676,38.069913138683035,16717.173828125,11.6463956833,1212.7916259766,4.4803128242,0.8060250282,57.3697357178,0.5287380219,0.3681260049,541.7460327148,0.0737240016,246.5966796875,9.2144479752,8e-06,4.0,12.0,2.0,10.0,3.0,6.0,13.0,1.0,11.0,8.0,5.0,7.0,9.0
2022-12-28 00:00:00+00:00,38.32731405966236,28.18675128367726,39.28969345101999,29.29945053028947,42.67118071186969,37.68576357127333,28.271501710542243,43.57646890026406,31.918879698526773,37.00832945114114,44.19250804449985,41.050271120784146,33.11072938877867,16552.572265625,11.202914238,1189.9860839844,4.2824587822,0.7828310132,53.7472572327,0.509649992,0.3565309942,518.1635131836,0.07038100060000001,244.1419219971,9.1210231781,8e-06,6.0,13.0,5.0,11.0,3.0,7.0,12.0,2.0,10.0,8.0,1.0,4.0,9.0
2022-12-29 00:00:00+00:00,39.81057211791596,28.33383368042946,40.95377595122752,31.37061054582379,44.33029845492631,35.7713290310448,31.138185743090393,41.54433202859508,30.42159608450602,42.04156652852171,44.52079392356607,44.21350044496357,38.15238816656031,16642.341796875,10.9926948547,1201.5953369141,4.3105278015,0.7774189711,54.5407142639,0.5112059712,0.3428460062,520.0272827148,0.0710420012,246.4797210693,9.3464307785,8e-06,7.0,13.0,6.0,10.0,2.0,9.0,11.0,5.0,12.0,4.0,1.0,3.0,8.0
2022-12-30 00:00:00+00:00,38.40083717428997,25.480388555580568,38.947204953470624,30.68861776889696,40.83480506897384,31.18636124021148,32.96774234956509,40.8988755951709,28.457102759806737,37.01876195891175,42.159497468484616,42.91748041019398,38.197655852463576,16602.5859375,10.8702487946,1199.2327880859,4.3234758377,0.7605329752000001,52.5164413452,0.5278570056,0.34501698610000003,522.248046875,0.06840399650000001,245.7792205811,9.3641748428,8e-06,6.0,13.0,5.0,11.0,4.0,10.0,9.0,3.0,12.0,8.0,2.0,1.0,7.0
2022-12-31 00:00:00+00:00,43.391228116053355,27.29670471371263,43.986489730112325,32.154952892028156,41.27131128183816,31.300643929031008,33.59681025529078,40.255817191604265,32.42543293806432,40.19728425567668,45.58912415692766,43.50908645859913,38.24819335312751,16547.49609375,10.902632713300001,1196.7712402344,4.3148231506,0.7585170269,51.979133606,0.52482301,0.3399290144,510.5272216797,0.0702940002,246.3491973877,9.3485994339,8e-06,4.0,13.0,2.0,11.0,5.0,12.0,9.0,6.0,10.0,7.0,1.0,3.0,8.0
